metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,2597,52.113207547169814,47.0,25.84134893359237,10.0,22.0,35.0,63.0,100.0,322.0,2.1636626098006566,11.020044958385657,0.0
当天AQI排名,2597,137.34077782056218,124.0,90.410320027636,1.0,14.0,62.0,202.0,306.0,366.0,0.49122005074486075,-0.6839080154117809,0.0
PM2.5,2597,33.20716211012707,28.0,21.2186735176657,1.0,11.0,19.0,42.0,72.0,304.0,2.7006747482480735,18.10967217364423,0.0
PM10,2597,50.74316519060454,44.0,28.72857740876641,5.0,18.0,32.0,63.0,107.0,373.0,2.267705085991077,13.288700986398828,0.0
So2,2597,17.22911051212938,13.0,14.158151937072237,1.0,4.0,8.0,23.0,43.0,162.0,2.663107800127522,13.654808338696023,0.0
No2,2597,18.29149018097805,16.0,8.710998085611909,3.0,9.0,12.0,22.0,37.0,65.0,1.4907425779088304,2.776532289730715,0.0
Co,2597,0.9190142472083174,0.88,0.28833876540210823,0.35,0.56,0.73,1.05,1.42,3.12,1.9186587063272882,7.884986545187939,0.0
O3,2597,53.38698498267232,52.0,22.60306032237639,2.0,19.0,38.0,67.0,94.0,159.0,0.47538170171198657,0.41923890220957993,0.0
