质量等级,count,rate
良,1628,0.6263947672181608
优,503,0.19353597537514428
轻度污染,273,0.10504040015390535
中度污染,98,0.03770681031165833
严重污染,49,0.018853405155829166
重度污染,48,0.01846864178530204
