metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,2597,32.48556026184058,32.0,8.594321872913914,11.0,20.0,26.0,38.0,47.0,112.0,1.2217696884581688,5.698878956732626,0.0
当天AQI排名,2597,45.25837504813246,34.0,40.946372300857504,1.0,2.0,15.0,64.0,124.19999999999982,351.0,1.7917781748648463,5.2973535289737494,0.0
PM2.5,2597,14.707354639969195,14.0,5.746292082631437,2.0,5.0,11.0,18.0,25.0,42.0,0.5069123185804876,0.6675338826400101,0.0
PM10,2597,25.38544474393531,23.0,11.522122651880442,5.0,11.0,18.0,31.0,44.0,167.0,2.614201880775739,18.61152812407074,0.0
So2,2597,8.38929534077782,8.0,3.3125236522964996,1.0,4.0,6.0,11.0,14.0,25.0,0.6080656176071944,0.24117221096321728,0.0
No2,2597,8.986907970735464,8.0,4.2048634102118285,2.0,4.0,6.0,11.0,18.0,27.0,1.1196458907610713,1.0921258022674327,0.0
Co,2597,0.5178860223334617,0.48,0.20112232694039198,0.08,0.26,0.39,0.6,0.92,1.9,1.3077196736061076,2.778281361265685,0.0
O3,2597,49.886792452830186,47.0,18.770989453464324,10.0,24.0,35.0,64.0,82.0,107.0,0.4009284446278109,-0.6346420673140152,0.0
