metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,1326,42.132730015082956,40.0,18.257087318944972,9.0,17.0,28.0,54.0,73.0,144.0,0.8590190703861253,1.606042882897531,0.0
当天AQI排名,1326,122.61689291101055,113.0,83.44371679704089,1.0,9.0,50.0,180.0,276.0,348.0,0.44016544925803236,-0.6513012812764267,0.0
PM2.5,1326,25.58446455505279,23.0,14.141336169417578,2.0,8.0,15.0,34.0,51.0,108.0,1.1690015173604644,2.420631475962051,0.0
PM10,1326,39.1553544494721,36.0,19.538679528651024,4.0,12.0,25.0,50.0,74.0,132.0,0.849606649402337,0.85682273162708,0.0
So2,1326,9.339366515837105,9.0,3.1760049745545085,3.0,5.0,7.0,11.0,15.0,27.0,0.8593531034013813,1.530362017457271,0.0
No2,1326,20.55580693815988,19.0,9.296271124491678,3.0,9.0,15.0,25.0,38.0,67.0,1.392075315236452,2.7344672970541235,0.0
Co,1326,0.8310784313725489,0.8,0.20397994322997462,0.39,0.55,0.69,0.93,1.23,2.07,1.0703248751109067,2.2149093473141384,0.0
O3,1326,53.29713423831071,52.0,22.56186345023942,4.0,18.0,37.0,69.0,92.0,142.0,0.2708302058885885,-0.2886529768871937,0.0
