质量等级,count,rate
良,1493,0.49322761810373306
轻度污染,694,0.22926990419557317
优,384,0.12685827552031714
中度污染,250,0.08259002312520647
重度污染,120,0.03964321110009911
严重污染,86,0.028410967955071028
