质量等级,count,rate
良,1556,0.5982314494425222
优,650,0.2499038831218762
轻度污染,274,0.1053440984236832
中度污染,44,0.016916570549788543
重度污染,42,0.016147635524798153
严重污染,35,0.013456362937331795
