metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,1,76.0,76.0,,76.0,76.0,76.0,76.0,76.0,76.0,,,0.0
当天AQI排名,1,219.0,219.0,,219.0,219.0,219.0,219.0,219.0,219.0,,,0.0
PM2.5,1,54.0,54.0,,54.0,54.0,54.0,54.0,54.0,54.0,,,0.0
PM10,1,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,95.0,,,0.0
So2,1,13.0,13.0,,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0
No2,1,34.0,34.0,,34.0,34.0,34.0,34.0,34.0,34.0,,,0.0
Co,1,1.02,1.02,,1.02,1.02,1.02,1.02,1.02,1.02,,,0.0
O3,1,62.0,62.0,,62.0,62.0,62.0,62.0,62.0,62.0,,,0.0
