质量等级,count,rate
良,1575,0.5201453104359313
优,778,0.2569352708058124
轻度污染,458,0.15125495376486128
中度污染,132,0.043593130779392336
重度污染,65,0.021466314398943198
严重污染,20,0.0066050198150594455
