质量等级,count,rate
良,1507,0.5018315018315018
轻度污染,826,0.27505827505827507
中度污染,249,0.08291708291708291
优,247,0.08225108225108226
重度污染,94,0.031302031302031304
严重污染,80,0.02664002664002664
