质量等级,count,rate
良,1237,0.4755863129565552
优,1058,0.40676662821991544
轻度污染,224,0.0861207227989235
中度污染,58,0.02229911572472126
重度污染,19,0.007304882737408689
严重污染,5,0.0019223375624759708
