metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3028,73.7830250990753,63.0,44.39971624466275,7.0,25.0,45.0,90.0,163.6500000000001,356.0,1.8921782335951869,5.210540599293244,0.0
当天AQI排名,3028,178.76023778071334,172.0,95.28494281850055,1.0,32.0,101.0,261.0,336.0,419.0,0.11620894133259667,-1.0450909804527664,0.0
PM2.5,3028,50.23678996036988,41.0,37.092867416983,2.0,13.0,26.0,62.0,124.0,316.0,2.187226355539474,7.398037640807523,0.0
PM10,3028,74.8104359313078,63.0,49.157887622455924,3.0,19.0,40.0,98.0,170.30000000000018,404.0,1.5451815165623233,3.6355291972535566,0.0
So2,3028,16.789299867899604,13.0,13.668615329771855,3.0,5.0,8.0,21.0,44.0,111.0,2.296152281453543,6.965737457516781,0.0
No2,3028,31.852377807133422,29.0,14.783215029455944,7.0,13.0,20.0,40.0,60.0,91.0,0.9163907633770656,0.6113604648475337,0.0
Co,3028,0.8129986789960371,0.75,0.2755143383609202,0.2,0.47,0.62,0.95,1.356500000000001,2.66,1.3682655176928675,3.1350691150804284,0.0
O3,3028,49.49306472919419,48.0,26.200333979059277,1.0,10.0,29.0,67.0,97.0,148.0,0.43515612529118564,-0.1375864740049737,0.0
