metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3028,44.70112285336856,42.0,20.2165066498637,9.0,18.0,30.0,56.0,81.0,162.0,1.1198313451061712,2.4755839025157744,0.0
当天AQI排名,3028,80.09280052840158,59.0,71.83094835383378,1.0,7.0,24.0,116.0,228.6500000000001,363.0,1.3379749232021754,1.561690564679953,0.0
PM2.5,3028,26.041611624834875,23.0,15.870165706209244,1.0,7.0,15.0,34.0,55.0,131.0,1.499976048888332,3.982086412539899,0.0
PM10,3028,44.53566710700132,39.0,23.459706495558784,2.0,16.0,28.0,57.0,88.65000000000009,182.0,1.2868745096846914,2.4258937953337556,0.0
So2,3028,6.585865257595772,6.0,2.730045181089782,3.0,4.0,5.0,7.0,11.0,49.0,3.771841581494714,30.844917283164257,0.0
No2,3028,28.250660501981507,26.5,11.311383192115029,4.0,14.0,21.0,34.0,49.0,101.0,1.285838281451312,3.1577510266261797,0.0
Co,3028,0.7636492734478203,0.71,0.2276071470515974,0.38,0.5,0.59,0.8725,1.22,1.75,1.132176896741138,1.2540854934253511,0.0
O3,3028,58.29887714663144,54.0,24.560965026510353,10.0,27.0,38.0,74.0,104.0,148.0,0.6684602489110706,-0.07089498439037323,0.0
