质量等级,count,rate
良,1343,0.5163398692810458
优,977,0.3756247597078047
轻度污染,235,0.09034986543637062
中度污染,41,0.015763168012302962
重度污染,4,0.0015378700499807767
严重污染,1,0.00038446751249519417
