质量等级,count,rate
良,897,0.551660516605166
优,437,0.2687576875768758
轻度污染,180,0.11070110701107011
中度污染,76,0.046740467404674045
重度污染,28,0.017220172201722016
严重污染,8,0.004920049200492005
