质量等级,count,rate
良,1635,0.5410324288550629
优,903,0.2988087359364659
轻度污染,348,0.11515552614162806
中度污染,92,0.03044341495698213
重度污染,31,0.010258107213765718
严重污染,13,0.004301786896095301
