metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3028,58.05944517833554,52.0,32.001049391592794,9.0,23.0,37.0,70.0,117.0,453.0,2.650610768347704,16.583880739406567,0.0
当天AQI排名,3028,128.26056803170408,112.0,83.69225923369638,1.0,16.0,62.0,185.0,289.6500000000001,422.0,0.6407963187685318,-0.37018231449629724,0.0
PM2.5,3028,34.58652575957728,27.0,27.090960890292685,2.0,9.0,17.0,43.0,84.65000000000009,440.0,3.4467046766016063,27.65457112862093,0.0
PM10,3028,56.71532364597094,47.0,38.783502877749086,4.0,18.0,31.0,71.0,129.0,545.0,2.6641394635218796,16.173953377224947,0.0
So2,3028,11.649603698811097,9.0,8.695168557041209,3.0,5.0,7.0,13.0,29.0,105.0,3.3339160842053213,16.430594288537037,0.0
No2,3028,37.02939233817701,34.0,17.414953419514692,4.0,13.0,24.0,47.25,69.0,118.0,0.756947611589676,0.45463597968221015,0.0
Co,3028,0.7774240422721269,0.72,0.25482039739565715,0.34,0.47,0.6,0.9,1.2665000000000008,2.77,1.495792213902588,4.085505676601149,0.0
O3,3028,62.08784676354029,61.0,27.8391281724781,3.0,19.0,42.0,81.0,109.0,164.0,0.3035888156418697,-0.16342740167702052,0.0
