metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3028,45.111624834874505,43.0,17.153654407525213,12.0,22.0,33.0,55.0,75.0,140.0,0.9685200707735201,1.9724328470311807,0.0
当天AQI排名,3028,85.87054161162483,68.0,65.5294950255671,1.0,10.0,36.0,122.0,214.0,356.0,1.087718848997494,0.9247938191489884,0.0
PM2.5,3028,25.486129458388376,23.0,14.031165667512488,2.0,8.0,16.0,32.0,52.0,106.0,1.34308986469735,2.916157053716276,0.0
PM10,3028,43.662813738441216,40.0,20.67950994962185,4.0,17.0,29.0,54.0,83.0,147.0,1.0559269677128278,1.5013936839172368,0.0
So2,3028,7.684940554821664,6.0,5.175972840234737,1.0,3.0,4.0,9.0,18.0,52.0,2.482597234970227,9.688040994403853,0.0
No2,3028,24.37879788639366,22.0,12.010766544695688,3.0,10.0,16.0,30.0,47.0,110.0,1.4050663013141969,3.3357456018913414,0.0
Co,3028,0.5476552179656539,0.53,0.15967297274479067,0.21,0.33,0.43,0.64,0.82,1.43,0.9005250964698165,1.62839493910018,0.0
O3,3028,60.72457067371202,58.0,21.648789035729873,11.0,31.0,45.0,74.0,101.0,138.0,0.5716614657045036,0.04964397388239883,0.0
