metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,1,76.0,76.0,,76.0,76.0,76.0,76.0,76.0,76.0,,,0.0
当天AQI排名,1,220.0,220.0,,220.0,220.0,220.0,220.0,220.0,220.0,,,0.0
PM2.5,1,55.0,55.0,,55.0,55.0,55.0,55.0,55.0,55.0,,,0.0
PM10,1,69.0,69.0,,69.0,69.0,69.0,69.0,69.0,69.0,,,0.0
So2,1,13.0,13.0,,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0
No2,1,28.0,28.0,,28.0,28.0,28.0,28.0,28.0,28.0,,,0.0
Co,1,0.67,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,,,0.0
O3,1,57.0,57.0,,57.0,57.0,57.0,57.0,57.0,57.0,,,0.0
