质量等级,count,rate
良,1396,0.4711441106986163
优,947,0.3196085048936888
轻度污染,427,0.1441106986162673
中度污染,124,0.041849476881538984
重度污染,56,0.01889976375295309
严重污染,13,0.004387445156935539
