质量等级,count,rate
优,1485,0.49042272126816383
良,1375,0.45409511228533683
轻度污染,138,0.04557463672391017
中度污染,24,0.007926023778071334
严重污染,3,0.0009907529722589167
重度污染,3,0.0009907529722589167
