metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3022,75.09530112508273,67.0,38.7611130374844,12.0,31.0,50.0,90.0,148.0,380.0,2.0412104355077516,7.414778159894949,0.0
当天AQI排名,3022,195.52316346790207,192.5,85.84504079434565,3.0,58.05000000000001,128.0,266.0,334.9499999999998,480.0,0.036862381930589175,-0.9173364947254266,0.0
PM2.5,3022,47.43778954334878,39.0,32.890889224628836,3.0,14.0,25.25,60.0,109.0,373.0,2.346401927835307,9.902497175039256,0.0
PM10,3022,79.53739245532759,69.0,46.95474969145755,5.0,28.0,47.0,99.0,167.0,471.0,1.8590737521633884,5.81392588047601,0.0
So2,3022,14.815684976836533,10.0,12.258826495821321,3.0,4.0,7.0,19.0,39.0,111.0,2.2849902283867087,7.666109835153707,0.0
No2,3022,40.77564526803442,37.0,17.97854368221677,5.0,17.0,27.0,51.0,74.0,131.0,0.9684261287058946,1.1767997431030164,0.0
Co,3022,0.9569920582395763,0.89,0.35180216870912123,0.31,0.53,0.71,1.12,1.63,3.19,1.3064617968370054,2.829421963604992,0.0
O3,3022,61.554930509596296,59.0,30.737370720349553,2.0,18.0,37.25,81.0,117.0,162.0,0.5412971609001838,-0.1342060459527321,0.0
