质量等级,count,rate
良,1588,0.52443857331572
轻度污染,682,0.22523117569352707
优,398,0.13143989431968295
中度污染,224,0.07397622192866579
重度污染,84,0.02774108322324967
严重污染,52,0.017173051519154558
