metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,3028,76.33487450462351,66.0,44.219847633853824,10.0,27.0,47.0,93.0,163.0,375.0,1.8573522266059677,5.351972174787335,0.0
当天AQI排名,3028,189.6396961690885,184.0,95.03191943466793,1.0,41.0,113.0,272.0,339.0,449.0,0.031123807283559814,-1.0864444688423631,0.0
PM2.5,3028,51.85733157199471,42.0,37.291281802322295,4.0,14.0,27.0,66.0,123.0,393.0,2.1693020630880704,8.254185486063946,0.0
PM10,3028,78.44815059445179,66.0,50.97061494226632,6.0,22.0,42.0,100.0,178.0,466.0,1.7103060886880475,4.982707969851942,0.0
So2,3028,17.020145310435932,13.0,13.9473948098151,3.0,4.0,8.0,21.0,46.65000000000009,92.0,2.0241928000478637,4.79494309773523,0.0
No2,3028,33.05184940554822,29.0,15.576010749969372,7.0,15.0,21.0,41.0,64.0,103.0,1.0533064275015216,0.8763427141431461,0.0
Co,3028,0.9397985468956407,0.88,0.30435848205824045,0.36,0.59,0.74,1.07,1.45,4.92,2.6677951456680264,18.02191214402535,0.0
O3,3028,51.78104359313078,49.0,24.721480128618207,3.0,16.0,34.0,67.0,97.0,172.0,0.5784705113935531,0.24246807704352635,0.0
