质量等级,count,rate
良,1323,0.5098265895953757
优,771,0.2971098265895954
轻度污染,369,0.14219653179190753
中度污染,86,0.03314065510597303
重度污染,30,0.011560693641618497
严重污染,16,0.006165703275529865
