质量等级,count,rate
良,1667,0.5505284015852048
优,785,0.2592470277410832
轻度污染,436,0.14398943196829592
中度污染,101,0.0333553500660502
重度污染,34,0.011228533685601057
严重污染,5,0.0016512549537648614
