metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,1,60.0,60.0,,60.0,60.0,60.0,60.0,60.0,60.0,,,0.0
当天AQI排名,1,245.0,245.0,,245.0,245.0,245.0,245.0,245.0,245.0,,,0.0
PM2.5,1,37.0,37.0,,37.0,37.0,37.0,37.0,37.0,37.0,,,0.0
PM10,1,66.0,66.0,,66.0,66.0,66.0,66.0,66.0,66.0,,,0.0
So2,1,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,,,0.0
No2,1,49.0,49.0,,49.0,49.0,49.0,49.0,49.0,49.0,,,0.0
Co,1,0.52,0.52,,0.52,0.52,0.52,0.52,0.52,0.52,,,0.0
O3,1,31.0,31.0,,31.0,31.0,31.0,31.0,31.0,31.0,,,0.0
