城市,样本数,PM2.5_mean,AQI_mean,PM10_mean,O3_mean
月章,1,0.0,0.0,0.0,0.0
月锡,1,5.0,24.0,19.0,71.0
月日,1,7.0,31.0,14.0,90.0
月山,1,8.0,30.0,15.0,87.0
月玉,1,9.0,22.0,20.0,47.0
阿勒,2597,9.81786676934925,34.7262225644975,19.332306507508665,65.3823642664613
月甘,1,11.0,36.0,37.0,53.0
山南,2597,11.151328455910667,42.817481709664996,30.935695032730074,76.13246053138236
阿里,2597,11.419715055833654,40.04389680400462,23.64998074701579,75.16981132075472
月阿,1,12.0,27.0,18.0,76.0
锡林,2596,12.759244992295839,43.93952234206471,43.26887519260401,64.16294298921417
玉树,2577,12.942956926658905,39.52696934419868,34.018626309662395,55.90376406674427
月迪,1,13.0,30.0,20.0,89.0
迪庆,2597,13.137081247593377,33.89680400462072,25.14131690412014,61.034655371582595
三亚,2964,13.847503373819164,31.62348178137652,27.33029689608637,55.22604588394062
月朝,1,14.0,46.0,49.0,71.0
塔城,2597,14.313823642664612,43.090489025799,37.48286484405083,64.49326145552561
甘孜,2590,14.314671814671815,34.220463320463324,26.276061776061777,53.15752895752896
日喀,2597,14.611474778590681,45.197535618020794,31.187139006546015,77.60723912206392
阿坝,2597,14.707354639969195,32.48556026184058,25.38544474393531,49.886792452830186
月果,1,15.0,37.0,38.0,87.0
昌都,2594,15.379722436391672,42.88010794140324,36.66730917501928,62.707787201233614
月荣,1,17.0,38.0,41.0,46.0
月呼,1,18.0,28.0,24.0,75.0
月塔,1,18.0,37.0,35.0,73.0
月大,1,18.0,30.0,27.0,50.0
月黑,1,18.0,30.0,24.0,60.0
月牡,1,18.0,31.0,30.0,66.0
大兴,2597,18.113977666538315,38.893338467462456,33.43126684636118,50.53292260300346
海口,3028,18.28203434610304,36.673051519154555,34.439894319682956,55.294914134742406
月那,1,19.0,37.0,36.0,55.0
月黄,1,19.0,37.0,44.0,52.0
月乳,1,19.0,43.0,46.0,27.0
月兴,1,19.0,33.0,31.0,65.0
黑河,2602,19.602997694081477,39.635664873174484,36.060722521137585,54.4043043812452
月普,1,20.0,42.0,42.0,62.0
月凉,1,20.0,37.0,37.0,74.0
伊春,2596,20.62904468412943,38.916409861325114,34.615562403698,47.570878274268104
楚雄,2597,20.917597227570273,39.32383519445514,34.3461686561417,52.55102040816327
月嘉,1,21.0,57.0,65.0,84.0
南平,2602,21.050345887778633,38.41544965411222,32.90199846272098,53.58032282859339
海西,2593,21.43270343231778,56.30890860007713,56.45622830698033,86.09679907443116
呼伦,2597,21.492106276472853,42.842125529457064,39.85829803619561,57.62649210627647
月铁,1,22.0,52.0,57.0,56.0
月辽,1,22.0,49.0,53.0,55.0
月白,1,22.0,64.0,78.0,71.0
凉山,2597,22.08278783211398,43.030419715055835,36.38428956488256,65.83057373892953
普洱,2594,22.60755589822668,40.31572860447186,38.40940632228219,46.78450269853508
龙岩,2602,22.76594926979247,41.8358954650269,39.85895465026903,47.0499615680246
舟山,3027,22.87248100429468,46.80409646514701,40.486620416253714,72.89263296993722
月楚,1,23.0,40.0,36.0,63.0
月海,2,23.0,42.5,44.0,57.0
汕尾,2963,23.454944313196084,43.74147823152211,37.88525143435707,71.8876139048262
月酒,1,24.0,64.0,78.0,83.0
月陇,1,24.0,61.0,73.0,71.0
大理,31,24.06451612903226,43.67741935483871,42.83870967741935,96.96774193548387
黄山,2524,24.506735340729,43.81339144215531,41.81656101426307,53.66679873217116
宁德,2602,24.510376633358955,44.748654880860876,41.31398923904689,55.34511913912375
果洛,2590,24.599227799227798,53.68262548262548,47.436679536679534,78.24671814671815
广元,2602,24.616448885472714,51.66679477325135,53.25057647963105,47.92467332820907
陇南,2601,24.66705113417916,49.13187235678585,49.42945021145713,56.56247597078047
福州,3023,24.9404565001654,48.173006946741644,47.44062189877605,61.188223618921604
三明,2602,24.947348193697156,43.30707148347425,41.37855495772483,39.95157571099155
月抚,1,25.0,55.0,61.0,48.0
月昆,1,25.0,46.0,48.0,20.0
泉州,3028,25.00330250990753,48.47490092470277,47.445178335535005,63.02642007926024
铜仁,2598,25.028483448806774,50.28560431100847,53.26250962278676,43.56466512702079
莆田,2602,25.11837048424289,47.0695618754804,41.77901614142967,66.74289008455034
鄂尔,3028,25.269154557463672,64.695178335535,75.01287978863937,76.78071334214003
湛江,2961,25.333671057075314,44.76393110435664,39.94292468760554,65.44410672070246
厦门,3028,25.486129458388376,45.111624834874505,43.662813738441216,60.72457067371202
海北,2593,25.550713459313535,56.10721172387196,53.40994986502121,86.38758195140764
韶关,1326,25.58446455505279,42.132730015082956,39.1553544494721,53.29713423831071
海南,2595,25.634682080924854,55.13487475915222,53.89441233140655,77.86666666666666
兴安,2602,25.848578016910068,48.25403535741737,45.56341275941583,58.58339738662567
月溧,1,26.0,46.0,48.0,32.0
月即,1,26.0,63.0,90.0,15.0
月句,1,26.0,47.0,51.0,22.0
月常,1,26.0,47.0,48.0,28.0
深圳,3028,26.041611624834875,44.70112285336856,44.53566710700132,58.29887714663144
文山,2597,26.20369657296881,43.46938775510204,38.70234886407393,57.40161725067385
惠州,3028,26.23778071334214,47.76023778071334,47.349075297225895,61.34081902245707
安顺,2602,26.31283627978478,43.71099154496541,37.84511913912375,60.738278247501924
珠海,3027,26.366369342583415,46.29897588371325,44.12355467459531,61.11562603237529
博州,2602,26.47079169869331,57.43235972328978,63.94542659492698,55.23174481168332
曲靖,2964,26.473009446693656,48.22402159244265,46.74156545209177,61.23313090418353
茂名,2963,26.736753290583867,46.04049949375633,45.69254134323321,59.58218022274722
延边,2598,26.874518860662047,49.514241724403384,43.61470361816782,55.72093918398768
防城,2602,26.996156802459648,46.1206764027671,45.392006149116064,52.42313604919293
月哈,1,27.0,74.0,98.0,51.0
