质量等级,count,rate
良,1402,0.5388162951575711
优,587,0.2255956956187548
轻度污染,373,0.14335126825518832
中度污染,135,0.05188316679477325
重度污染,60,0.023059185242121444
严重污染,45,0.017294388931591083
