metric,count,mean,median,std,min,p05,p25,p75,p95,max,skew,kurt,missing_rate
AQI指数,1,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,95.0,,,0.0
当天AQI排名,1,280.0,280.0,,280.0,280.0,280.0,280.0,280.0,280.0,,,0.0
PM2.5,1,57.0,57.0,,57.0,57.0,57.0,57.0,57.0,57.0,,,0.0
PM10,1,137.0,137.0,,137.0,137.0,137.0,137.0,137.0,137.0,,,0.0
So2,1,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,8.0,,,0.0
No2,1,32.0,32.0,,32.0,32.0,32.0,32.0,32.0,32.0,,,0.0
Co,1,1.01,1.01,,1.01,1.01,1.01,1.01,1.01,1.01,,,0.0
O3,1,55.0,55.0,,55.0,55.0,55.0,55.0,55.0,55.0,,,0.0
